"Nome","Volume Médio (3m)","Valor de Mercado","Receita","Relação P/L","Beta"
"Teradyne","3,29M","42,46B","3,19B","78,26","1,82"
"Danaher","3,6M","152,51B","24,57B","42,55","0,96"
"Seagate","4,25M","88,42B","10,06B","45,45","1,62"
"Agilent Technologies","1,99M","36,75B","6,95B","28,42","1,29"
"Delta Air Lines","7,66M","45,26B","63,36B","9,15","1,38"
"Moody’s","829,65K","81,65B","7,50B","36,86","1,41"
"Nike","18,09M","92,82B","46,51B","36,75","1,29"
"P&G","10,81M","368,61B","85,26B","23,07","0,38"
"Weyerhaeuser","7,31M","19,25B","6,91B","59,80","1,05"
"ADP","2,39M","94,21B","21,21B","22,44","0,85"
"Keurig Dr Pepper","13,26M","38,05B","16,17B","24,22","0,36"
"Lowe’s","3,09M","154,2B","84,26B","22,93","0,96"
"United Airlines Holdings","5,26M","34,35B","59,07B","10,42","1,32"
"Netflix","46,05M","341,45B","45,18B","32,06","1,71"
"News Corp","1,02M","14,03B","8,50B","11,43","0,97"
"Equinix","544,76K","79,29B","9,08B","73,64","1,03"
"Booking","259,97K","143,23B","26,04B","29,20","1,25"
"O’Reilly Automotive","5,6M","78,18B","17,78B","32,57","0,616"
"BlackRock","651,21K","171,78B","24,22B","29,97","1,48"
"CME Group","1,97M","107,24B","6,52B","26,40","0,28"
"JB Hunt","1,16M","21,31B","12,00B","36,81","1,27"
"Loews","788,57K","22,92B","18,27B","16,23","0,62"
"NextEra Energy","9,74M","185,79B","27,41B","27,10","0,76"
"First Solar","2,11M","25,15B","5,05B","18,04","1,59"
"Viatris","8,6M","16,52B","14,12B","-4,56","0,84"
"F5 Networks","1,21M","15,41B","3,14B","22,41","0,98"
"Edwards Lifesciences","3,43M","45,32B","5,88B","34,02","0,97"
"News Corp A","3,78M","14,03B","8,50B","11,43","0,97"
"Amphenol","9,28M","156,23B","23,09B","38,48","1,21"
"Berkshire Hathaway B","4,97M","1,09T","372,13B","16,13","0,71"
"Coterra Energy","9,44M","22,99B","6,67B","14,06","0,32"
"CarMax","4,57M","6,45B","27,83B","15,09","1,29"
"Chipotle Mexican Grill","20,13M","50,08B","11,93B","35,03","0,996"
"DaVita","1,03M","10,23B","13,64B","14,92","1,01"
"EQT","9,37M","34,53B","7,71B","19,00","0,50"
